Bkg Branch,Delivery Branch,Card Rate
KUMBAKONAM,SURENDRANAGAR,9.55
KUMBAKONAM,SOLAPUR,10.45
KUMBAKONAM,GOLDEN BRANCH,9.2
KUMBAKONAM,BARODA - KARELIBAUG,8.85
KUMBAKONAM,NAGPUR (WADI),10.2
KUMBAKONAM,MAKARPURA,8.85
KUMBAKONAM,DASHRATH,8.6
KUMBAKONAM,NANDESARI,8.85
KUMBAKONAM,NAGPUR CITY,11
KUMBAKONAM,V V NAGAR,8.85
KUMBAKONAM,PADRA (DHABASA),8.85
KUMBAKONAM,POR,8.85
KUMBAKONAM,WAGHODIA,8.85
KUMBAKONAM,WAGHOLI,8.6
KUMBAKONAM,GODHRA PANCHMAHAL,9.2
KUMBAKONAM,HALOL (GIDC),9.2
KUMBAKONAM,MEHSANA (N.G.),10.2
KUMBAKONAM,PIRANGUT,8.6
KUMBAKONAM,PONDA,10.45
KUMBAKONAM,MADGAON,10.45
KUMBAKONAM,GONDHE,10.45
KUMBAKONAM,SINNER,9.2
KUMBAKONAM,CHANDRAPUR,11.35
KUMBAKONAM,AURANGABAD (WALUJ) MIDC,9.85
KUMBAKONAM,VERNA-GOA,8.85
KUMBAKONAM,AURANGABAD CITY- CHIKALTHANA,10.75
KUMBAKONAM,LOTE,10.2
KUMBAKONAM,PUNE CITY,8.6
KUMBAKONAM,SILVASSA,9.2
KUMBAKONAM,ROHA,10.2
KUMBAKONAM,KOLHAPUR,8.3
KUMBAKONAM,DADRA NAGAR HAVELI,8.85
KUMBAKONAM,KARAD,9.85
KUMBAKONAM,MAPUCA,10.45
KUMBAKONAM,SATARA,10.2
KUMBAKONAM,VAPI DELIVERY,8.3
KUMBAKONAM,BELGAUM,8.65
KUMBAKONAM,NASIK,9.2
KUMBAKONAM,SARIGAM,8.85
KUMBAKONAM,PHURSUNGHI,8.85
KUMBAKONAM,UMARGAON,8.6
KUMBAKONAM,VALSAD,9.2
KUMBAKONAM,GUINDY-CHENNAI,3.5
KUMBAKONAM,AHEMADNAGAR,8.85
KUMBAKONAM,MAHAD MIDC,9.85
KUMBAKONAM,DEWAS NAKA,11
KUMBAKONAM,HAZIRA,10.45
KUMBAKONAM,SAROLI,9.2
KUMBAKONAM,BHOPAL,12.6
KUMBAKONAM,NAVSARI,9.2
KUMBAKONAM,UNN,9.2
KUMBAKONAM,SURAT CITY,9.2
KUMBAKONAM,BILIMORA,9.2
KUMBAKONAM,INDORE CITY,11.35
KUMBAKONAM,ANKLESHWAR,9.2
KUMBAKONAM,PANOLI,10.2
KUMBAKONAM,KIM,10.2
KUMBAKONAM,PITHAMPUR,12
KUMBAKONAM,BHARUCH,10.2
KUMBAKONAM,DEWAS (TOWN),12
KUMBAKONAM,DAHEJ,11
KUMBAKONAM,KOLKATA(B T ROAD),12.25
KUMBAKONAM,LALBAGH ROAD,5.85
KUMBAKONAM,TRAJPAR (MORBI),10.75
KUMBAKONAM,DODDABALLAPUR - BNG,5.85
KUMBAKONAM,JUNAGADH-SABALPUR,11.35
KUMBAKONAM,METODA,10.75
KUMBAKONAM,MORBI,11
KUMBAKONAM,RAJAJINAGAR,5.6
KUMBAKONAM,DAVANAGERE,6.8
KUMBAKONAM,HUBLI INDL AREA,8.35
KUMBAKONAM,PEENYA,5.6
KUMBAKONAM,HOSUR,6.2
KUMBAKONAM,BOMMASANDRA,5.85
KUMBAKONAM,JAMNAGAR - SHANKARTEKRI,10.75
KUMBAKONAM,MANGALORE,7.5
KUMBAKONAM,NAVAGAM (BHAVNAGAR),9.85
KUMBAKONAM,TUMKUR,6.2
KUMBAKONAM,HINDUPUR,6.45
KUMBAKONAM,SIHOR,10.75
KUMBAKONAM,VERAVAL,11.35
KUMBAKONAM,MYSORE,6.2
KUMBAKONAM,THANGADH,10.75
KUMBAKONAM,JETPUR,10.75
KUMBAKONAM,SHAPAR,10.45
KUMBAKONAM,JAMNAGAR,10.75
KUMBAKONAM,MAHUVA,11.35
KUMBAKONAM,DARED,10.75
KUMBAKONAM,BHAKTINAGAR,10.45
KUMBAKONAM,BHAVNAGAR,10.45
KUMBAKONAM,GANDHIDHAM,10.2
KUMBAKONAM,BHUJ,11
KUMBAKONAM,MUNDRA,11
KUMBAKONAM,GANDHIDHAM CITY,10.75
KUMBAKONAM,MANDVI,11.35
KUMBAKONAM,HOSUR INDUSTRIAL AREA,5.85
KUMBAKONAM,BROADWAY - CHENNAI,3.5
KUMBAKONAM,MADURAI,6.2
KUMBAKONAM,SALEM,5.85
KUMBAKONAM,TRIVANDRUM,9.9
KUMBAKONAM,ERODE,7.5
KUMBAKONAM,TRICHUR,9.2
KUMBAKONAM,CALICUT,12.2
KUMBAKONAM,TIRUPUR,7.5
KUMBAKONAM,VIJAYAWADA,4.7
KUMBAKONAM,KARUR,7.8
KUMBAKONAM,KOTTAYAM,11
KUMBAKONAM,TUTICORIN,8.35
KUMBAKONAM,BALANAGAR,6.2
KUMBAKONAM,PONDICHERRY,5
KUMBAKONAM,HUBSIGUDA,6.45
KUMBAKONAM,PATANCHERU,6.45
KUMBAKONAM,GAJUWAKA,7.5
KUMBAKONAM,DIWANDEVDI,6.45
KUMBAKONAM,NAGERCOIL,8.35
KUMBAKONAM,AMBATTUR-CHENNAI,3.85
KUMBAKONAM,TRICHY,4.45
KUMBAKONAM,TIRUNELVELI,8.65
KUMBAKONAM,GUMMIDIPOONDI - CHENNAI,4.45
KUMBAKONAM,BOLLARAM,6.8
KUMBAKONAM,SIVAKASI,8.1
KUMBAKONAM,PERUNGUDI,3.85
KUMBAKONAM,JEEDIMETLA,6.2
KUMBAKONAM,RAJAPALAYAM,8.1
KUMBAKONAM,RANIPET,4.45
KUMBAKONAM,ALLEPPEY,12.2
KUMBAKONAM,DEHRADUN,13.8
KUMBAKONAM,GHAZIABAD,12.6
KUMBAKONAM,GWALIOR,15
KUMBAKONAM,JALANDHAR FR,14.4
KUMBAKONAM,AMBALA CITY,13.2
KUMBAKONAM,AGRA,12.6
KUMBAKONAM,LUDHIANA,13.45
KUMBAKONAM,NOIDA,12.25
KUMBAKONAM,PARWANOO,14.7
KUMBAKONAM,BADDI (HIMACHAL PRADESH),13.2
KUMBAKONAM,AMRITSAR,16.2
KUMBAKONAM,LUCKNOW,17.4
KUMBAKONAM,RUDRAPUR,13.45
KUMBAKONAM,HARIDWAR,13.2
KUMBAKONAM,DELHI (RAMA ROAD),12.25
KUMBAKONAM,PANIPAT,12.9
KUMBAKONAM,OKHLA-1,12.25
KUMBAKONAM,MANESAR,12
KUMBAKONAM,FARIDABAD FR,12
KUMBAKONAM,FARIDABAD,12
KUMBAKONAM,NIGDI,8.6
KUMBAKONAM,K R PURAM,5.85
KUMBAKONAM,SECUNDERABAD,6.45
KUMBAKONAM,KOTA (RAJASTAN) FR,14.1
KUMBAKONAM,ABU ROAD,10.45
KUMBAKONAM,BIKANER,14.4
KUMBAKONAM,UDUPI,7.8
KUMBAKONAM,KANJIKODE,9.55
KUMBAKONAM,MEERUT,13.8
KUMBAKONAM,ASLALI BRANCH,9.2
KUMBAKONAM,KOLKATA-SOUTH,13.15
KUMBAKONAM,KOLKATA-CENTRAL,12.55
KUMBAKONAM,SRIPERUMBUDUR,3.85
KUMBAKONAM,BELLARY,7.8
KUMBAKONAM,RUDANAGAR BRANCH,10.2
KUMBAKONAM,ROORKEE,13.2
KUMBAKONAM,MANJUSAR,8.85
KUMBAKONAM,KAKINADA,7.5
KUMBAKONAM,BHIWADI - RAJASTHAN,12
KUMBAKONAM,VAVDI-RAJKOT,10.45
KUMBAKONAM,SELAQUI,13.8
KUMBAKONAM,KANPUR,15.9
KUMBAKONAM,PORBANDAR,11.35
KUMBAKONAM,COIMBATORE BRANCH,5.85
KUMBAKONAM,GREATER NOIDA,12.25
KUMBAKONAM,NALAGARH,14.1
KUMBAKONAM,RANJANGAON,8.6
KUMBAKONAM,SHIRVAL,9.2
KUMBAKONAM,KALA-AMB,14.7
KUMBAKONAM,MARAIMALAI NAGAR - CHE,4.45
KUMBAKONAM,JAMMU,17.7
KUMBAKONAM,GONDAL,10.75
KUMBAKONAM,JALGAON,12
KUMBAKONAM,KASHIPUR,14.7
KUMBAKONAM,SONEPAT,12.25
KUMBAKONAM,KURNOOL,8.9
KUMBAKONAM,GUNTUR,7.5
KUMBAKONAM,ALIPUR BRANCH,12.6
KUMBAKONAM,PALGHAR,9.85
KUMBAKONAM,AMRAVATI,11.7
KUMBAKONAM,PATNA,14.3
KUMBAKONAM,SITARGANJ,13.8
KUMBAKONAM,GURGAON BKG & DLY,11.7
KUMBAKONAM,JAMSHEDPUR,10.8
KUMBAKONAM,RAIPUR,11.7
KUMBAKONAM,VARANASI,19
KUMBAKONAM,JABALPUR,12.25
KUMBAKONAM,RANCHI,11.4
KUMBAKONAM,CUDDALORE,4.1
KUMBAKONAM,BHUBANESWAR,9.05
KUMBAKONAM,AUTONAGAR-HYD,6.8
KUMBAKONAM,KALAMASSERY,9.2
