Bkg Branch,Delivery Branch,Card Rate
MAPUCA,NIZAMABAD,12.20
MAPUCA,PATANCHERU,9.60
MAPUCA,SECUNDERABAD,9.50
MAPUCA,WARANGAL,12.20
MAPUCA,BARODA - KARELIBAUG,7.30
MAPUCA,DASHRATH,9.20
MAPUCA,GODHRA PANCHMAHAL,7.80
MAPUCA,HALOL (GIDC),7.30
MAPUCA,JAROD,7.60
MAPUCA,MAKARPURA,7.30
MAPUCA,MANJUSAR,7.20
MAPUCA,NANDESARI,7.60
MAPUCA,PADRA (DHABASA),7.40
MAPUCA,POR,7.20
MAPUCA,V V NAGAR,7.40
MAPUCA,WAGHODIA,7.60
MAPUCA,AMBATTUR-CHENNAI,8.40
MAPUCA,BROADWAY - CHENNAI,8.40
MAPUCA,CUDDAPAH,12.20
MAPUCA,GUINDY-CHENNAI,8.40
MAPUCA,GUMMIDIPOONDI - CHENNAI,9.00
MAPUCA,NELLORE,12.60
MAPUCA,PALLAVARAM - CHENNAI,8.50
MAPUCA,PARIVAKKAM-CHENNAI,7.80
MAPUCA,REDHILLS - CHENNAI,8.60
MAPUCA,SRICITY - TADA,9.10
MAPUCA,THIRUVALLUR - CHE,9.00
MAPUCA,TIRUPATHI,13.70
MAPUCA,AMBUR,10.40
MAPUCA,CHITTOOR,12.60
MAPUCA,CUDDALORE,9.90
MAPUCA,KELAMBAKKAM,9.90
MAPUCA,MARAIMALAI NAGAR - CHE,8.70
MAPUCA,ORAGADAM-CHE,9.00
MAPUCA,PANRUTI,9.30
MAPUCA,PERUNGUDI,8.70
MAPUCA,PONDICHERRY,9.30
MAPUCA,RANIPET,9.60
MAPUCA,SRIPERUMBUDUR,8.40
MAPUCA,THIRUVNNAMALAI,10.50
MAPUCA,VILLUPURAM,10.00
MAPUCA,BARGUR,9.10
MAPUCA,COIMBATORE BRANCH,8.10
MAPUCA,DHARMAPURI,9.40
MAPUCA,ERODE,8.80
MAPUCA,KANJIKODE,10.40
MAPUCA,KARUR,9.10
MAPUCA,KOMARAPALAYAM,9.00
MAPUCA,KOVILPATTI,9.20
MAPUCA,KUMBAKONAM,10.20
MAPUCA,METTUR DAM,9.30
MAPUCA,NAMAKKAL,8.40
MAPUCA,NEELAMBUR,8.70
MAPUCA,PERUNDURAI SIPCOT,8.90
MAPUCA,POLLACHI,9.20
MAPUCA,PUDUKKOTTAI,9.00
MAPUCA,SALEM,7.60
MAPUCA,THANJAVUR,9.10
MAPUCA,TIRUCHENGODE,8.30
MAPUCA,TIRUPUR,9.00
MAPUCA,TRICHY,8.80
MAPUCA,UDUMALPET,10.50
MAPUCA,ALLEPPEY,11.10
MAPUCA,CALICUT,11.40
MAPUCA,COCHIN (ERNAKULAM),9.90
MAPUCA,KALAMASSERY,9.90
MAPUCA,KANNUR,11.10
MAPUCA,KOLLAM FR,12.40
MAPUCA,KOTTAYAM,8.90
MAPUCA,MANJERI,10.60
MAPUCA,PERUMBAVOOR,12.00
MAPUCA,TRICHUR,10.00
MAPUCA,TRIVANDRUM,11.00
MAPUCA,DINDIGUL,8.90
MAPUCA,MADURAI,8.50
MAPUCA,NAGERCOIL,9.10
MAPUCA,RAJAPALAYAM,10.30
MAPUCA,SIVAKASI,9.20
MAPUCA,TIRUNELVELI,10.30
MAPUCA,TUTICORIN,10.50
MAPUCA,BEGUSARAI,17.75
MAPUCA,GAYA,17.75
MAPUCA,JAMSHEDPUR,19.90
MAPUCA,MUZAFFARPUR,17.75
MAPUCA,PATNA,17.30
MAPUCA,RANCHI,20.30
MAPUCA,RANCHI DELIVERY,18.80
MAPUCA,RAXAUL,21.30
MAPUCA,GUWAHATI,20.10
MAPUCA,JAIGAON - BHUTAN,24.80
MAPUCA,SILIGURI,20.10
MAPUCA,BALASORE,19.60
MAPUCA,BERHAMPUR,14.60
MAPUCA,BHUBANESWAR,23.80
MAPUCA,CUTTACK,22.10
MAPUCA,SAMBALPUR,21.10
MAPUCA,ALAMPUR,18.20
MAPUCA,BISHNUPUR-KOLKATTA,18.40
MAPUCA,BURDWAN,20.30
MAPUCA,DANKUNI,16.60
MAPUCA,DURGAPUR,19.30
MAPUCA,HALDIA,19.40
MAPUCA,HOWRAH,17.50
MAPUCA,KALYANI,18.70
MAPUCA,KHARAGPUR,19.60
MAPUCA,KOLKATA (M G ROAD),17.80
MAPUCA,KOLKATA(B T ROAD),17.50
MAPUCA,KOLKATA-CENTRAL,17.80
MAPUCA,KOLKATA-SOUTH,17.90
MAPUCA,MALDA,22.90
MAPUCA,PETRAPOLE,19.60
MAPUCA,SANTIPUR,19.60
MAPUCA,CHIKMAGALUR,7.50
MAPUCA,DODDABALLAPUR - BNG,6.20
MAPUCA,HASSAN,7.10
MAPUCA,HINDUPUR,7.20
MAPUCA,HOSKOTE,6.30
MAPUCA,K R PURAM,6.20
MAPUCA,KOLAR,6.50
MAPUCA,NELAMANGALA (BKG & DLY),5.50
MAPUCA,NELAMANGALA CENTRAL CELL,5.50
MAPUCA,PEENYA,5.90
MAPUCA,RAJAJINAGAR,6.00
MAPUCA,TUMKUR,6.40
MAPUCA,TUMKUR INDUSTRIAL AREA,6.50
MAPUCA,BIDADI,6.10
MAPUCA,BOMMASANDRA,6.50
MAPUCA,HAROHALLI - BANGALORE,6.20
MAPUCA,HOSUR,6.30
MAPUCA,HOSUR INDUSTRIAL AREA,6.10
MAPUCA,JIGANI,6.20
MAPUCA,KANAKAPURA ROAD - BNG,6.20
MAPUCA,LALBAGH ROAD,6.10
MAPUCA,SHIVAJINAGAR-BNG,6.65
MAPUCA,BAIKAMPADY - MNG,8.40
MAPUCA,KARKALA,8.40
MAPUCA,KUNDAPUR,9.00
MAPUCA,KUSHALNAGAR – KODAGU,8.20
MAPUCA,MANDYA,6.90
MAPUCA,MANGALORE,8.30
MAPUCA,MYSORE,6.90
MAPUCA,MYSORE - INDUSTRIAL AREA,6.90
MAPUCA,PUTTUR,8.30
MAPUCA,RAMANAGARA,6.90
MAPUCA,UDUPI,8.70
MAPUCA,BAGALAKOTE - NORTH KAR,5.90
MAPUCA,BELGAUM,5.00
MAPUCA,BELGAUM INDL ESTATE,5.00
MAPUCA,BELLARY,5.90
MAPUCA,BHATKAL,6.90
MAPUCA,BIDAR,7.50
MAPUCA,BIJAPUR,6.10
MAPUCA,CHITRADURGA,6.10
MAPUCA,DAVANAGERE,5.70
MAPUCA,GADAG,5.70
MAPUCA,GANGAVATI,6.10
MAPUCA,GOKAK,6.00
MAPUCA,GULBARGA,6.40
MAPUCA,HOSPET,6.10
MAPUCA,HUBLI – TARIHAL,3.60
MAPUCA,HUBLI CITY,4.30
MAPUCA,HUBLI INDL AREA,4.30
MAPUCA,KARWAR,7.00
MAPUCA,KOPPAL,6.10
MAPUCA,KUMTA,6.90
MAPUCA,MACHHE INDUSTRIAL,5.20
MAPUCA,RABAKAVI - BANATTI,6.70
MAPUCA,RAICHUR,6.90
MAPUCA,RANEBENNUR,5.60
MAPUCA,SHIMOGA,7.20
MAPUCA,SINDHNOOR,6.90
MAPUCA,SIRSI,6.20
MAPUCA,AMBERNATH,8.80
MAPUCA,DAPODA,7.20
MAPUCA,DOMBIVLI,8.80
MAPUCA,MURBAD,8.60
MAPUCA,THANA,8.50
MAPUCA,VASIND,9.00
MAPUCA,WADA,8.70
MAPUCA,ANDHERI,6.70
MAPUCA,BHANDUP,6.90
MAPUCA,BOISAR,6.60
MAPUCA,DAHANU,6.40
MAPUCA,GENESIS,7.10
MAPUCA,GOREGOAN,6.90
MAPUCA,MIRA ROAD,7.10
MAPUCA,MUMBAI,7.10
MAPUCA,PALGHAR,6.00
MAPUCA,VASAI EAST,6.60
MAPUCA,VASAI HIGHWAY,6.50
MAPUCA,WADALA - MUMBAI,6.70
MAPUCA,DRONAGIRI,9.30
MAPUCA,KALAMBOLI,9.20
MAPUCA,KHOPOLI,9.60
MAPUCA,MAHAPE,8.70
MAPUCA,PATALGANGA,9.60
MAPUCA,TALOJA,9.20
MAPUCA,BHOPAL,10.10
MAPUCA,DEWAS (TOWN),9.50
MAPUCA,DEWAS NAKA,9.20
MAPUCA,INDORE CITY,9.30
MAPUCA,LASUDIA,8.40
MAPUCA,MANDIDEEP,10.20
MAPUCA,PITHAMPUR,9.20
MAPUCA,UJJAIN,10.00
MAPUCA,AKOLA,12.40
MAPUCA,AMRAVATI,12.00
MAPUCA,BHANDARA,11.30
MAPUCA,BHILAI,11.90
MAPUCA,BILASPUR,14.00
MAPUCA,BORGAON,13.40
MAPUCA,BUTIBORI,11.10
MAPUCA,CHANDRAPUR,11.80
MAPUCA,CHHINDWARA,12.20
MAPUCA,GANDHIBAGH-NGP,10.70
MAPUCA,JABALPUR,12.60
MAPUCA,KHAMGAON,12.20
MAPUCA,MALKAPUR,16.45
MAPUCA,NAGPUR (WADI),10.60
MAPUCA,NAGPUR CITY,10.70
MAPUCA,NAGPUR CIY FR,10.60
MAPUCA,NAGPUR KAPSI,10.90
MAPUCA,NAGPUR WADDHAMNA,9.90
MAPUCA,RAIPUR,11.80
MAPUCA,ALIPUR BRANCH,12.30
MAPUCA,DELHI (RAMA ROAD),12.30
MAPUCA,DELHI EAST,12.50
MAPUCA,FARIDABAD,12.20
MAPUCA,KUNDLI BRANCH,12.30
MAPUCA,OKHLA-1,12.50
MAPUCA,ROHTAK,13.40
MAPUCA,SONEPAT,13.20
