Bkg Branch,Delivery Branch,Card Rate
KANJIKODE,SINNER,8.85
KANJIKODE,ALANDI,8
KANJIKODE,CHAKAN CENTRAL CELL,8.3
KANJIKODE,HINJEWADI,8.3
KANJIKODE,LONAVALA,8.9
KANJIKODE,NIGDI,8.05
KANJIKODE,PIRANGUT,8.05
KANJIKODE,RANJANGAON,8.3
KANJIKODE,TALEGAON (BKG & DLY),8.05
KANJIKODE,BARAMATI,10.45
KANJIKODE,JEJURI,10.45
KANJIKODE,KHED SHIVAPUR,8.05
KANJIKODE,KURKUMBH,10.2
KANJIKODE,PHURSUNGHI,8.6
KANJIKODE,PHURSUNGI DELIVERY,5.6
KANJIKODE,PUNE CITY,8.3
KANJIKODE,SHIRVAL,8.6
KANJIKODE,SINHAGAD ROAD,8.3
KANJIKODE,SOLAPUR,9.85
KANJIKODE,SOLAPUR CITY,9.85
KANJIKODE,TEMBHURNI,9.85
KANJIKODE,URULI KANCHAN,9.44
KANJIKODE,WAGHOLI,8.05
KANJIKODE,BHUJ,8.05
KANJIKODE,GANDHIDHAM,8.05
KANJIKODE,GANDHIDHAM CITY,8.05
KANJIKODE,MANDVI,9.2
KANJIKODE,MUNDRA,8.85
KANJIKODE,ATIKA (RAJKOT),8.05
KANJIKODE,BHAKTINAGAR,8.05
KANJIKODE,BHAVNAGAR,8.3
KANJIKODE,DARED,8.6
KANJIKODE,GONDAL,8.6
KANJIKODE,JAMNAGAR,8.6
KANJIKODE,JAMNAGAR - SHANKARTEKRI,8.6
KANJIKODE,JETPUR,8.6
KANJIKODE,JUNAGADH-SABALPUR,8.85
KANJIKODE,MAHUVA,8.85
KANJIKODE,METODA,8.3
KANJIKODE,MORBI,8.85
KANJIKODE,NAVAGAM (BHAVNAGAR),7.65
KANJIKODE,PIPAVAV,9.2
KANJIKODE,PORBANDAR,9.2
KANJIKODE,RUDANAGAR BRANCH,7.65
KANJIKODE,SHAPAR,8.3
KANJIKODE,SIHOR,8.3
KANJIKODE,THANGADH,8.6
KANJIKODE,TRAJPAR (MORBI),8.6
KANJIKODE,VAVDI-RAJKOT,8.3
KANJIKODE,VERAVAL,9.2
KANJIKODE,ANKLESHWAR,7.4
KANJIKODE,BHARUCH,8.3
KANJIKODE,DAHEJ,9.2
KANJIKODE,JHAGADIA,7.2
KANJIKODE,KIM,8.6
KANJIKODE,PANOLI,8.3
KANJIKODE,BILIMORA,8.05
KANJIKODE,HAZIRA,6.7
KANJIKODE,KADODARA BRANCH,6.35
KANJIKODE,NAVSARI,6.7
KANJIKODE,PALSANA,6.35
KANJIKODE,SACHIN,6.7
KANJIKODE,SAROLI,5.75
KANJIKODE,SURAT CITY,6.7
KANJIKODE,UNN,6.7
KANJIKODE,DADRA NAGAR HAVELI,8.3
KANJIKODE,DAMAN DELIVERY UT,7.4
KANJIKODE,PARDI,8.6
KANJIKODE,SARIGAM,8.3
KANJIKODE,SILVASSA,8.6
KANJIKODE,UMARGAON,8.3
KANJIKODE,VALSAD,8.6
KANJIKODE,VAPI DELIVERY,7.65
KARUR,ASLALI BRANCH,6.95
KARUR,GOBLEJ BKG & DLY,6.7
KARUR,KATHWADA,6.95
KARUR,KUBADTHAL FR,7.45
KARUR,NADIAD,6.95
KARUR,NARODA,6.95
KARUR,NAROL,6.7
KARUR,ODHAV,6.7
KARUR,RAKHIAL,6.95
KARUR,SARANGPUR,6.95
KARUR,VATVA,6.7
KARUR,CHANGODAR,6.95
KARUR,CHHATRAL (N.G.),6.95
KARUR,DHOLKA,6.7
KARUR,GANDHINAGAR,6.95
KARUR,HIMATNAGAR,7.4
KARUR,KALOL (N.G.),7.65
KARUR,MEHSANA (N.G.),8.05
KARUR,PALANPUR,8.05
KARUR,SANAND,6.95
KARUR,SANTEJ,6.95
KARUR,SARKHEJ,6.95
KARUR,SIDHPUR,8.05
KARUR,SURENDRANAGAR,7.4
KARUR,ABU ROAD,8.3
KARUR,BHILWARA FR,10.45
KARUR,CHITTORGARH  FR,11.3
KARUR,JODHPUR,9.55
KARUR,KOTA (RAJASTAN) FR,11.7
