Bkg Branch,Delivery Branch,Card Rate
MANGALORE,NAVSARI,8.25
MANGALORE,UNN,8.35
MANGALORE,SURAT CITY,8.35
MANGALORE,BILIMORA,8.25
MANGALORE,INDORE CITY,10.4
MANGALORE,ANKLESHWAR,8.55
MANGALORE,PANOLI,8.6
MANGALORE,KIM,8.6
MANGALORE,PITHAMPUR,10.85
MANGALORE,BHARUCH,8.7
MANGALORE,DEWAS (TOWN),11
MANGALORE,DAHEJ,10.95
MANGALORE,KOLKATA(B T ROAD),14.75
MANGALORE,TRAJPAR (MORBI),11.1
MANGALORE,DODDABALLAPUR - BNG,4.15
MANGALORE,JUNAGADH-SABALPUR,10.4
MANGALORE,METODA,9.4
MANGALORE,MORBI,10.2
MANGALORE,RAJAJINAGAR,4.1
MANGALORE,DAVANAGERE,5.85
MANGALORE,HUBLI INDL AREA,7.1
MANGALORE,PEENYA,3.9
MANGALORE,HOSUR,4.55
MANGALORE,BOMMASANDRA,4.2
MANGALORE,JAMNAGAR - SHANKARTEKRI,9.85
MANGALORE,MANGALORE,0.1
MANGALORE,NAVAGAM (BHAVNAGAR),8.85
MANGALORE,TUMKUR,4.75
MANGALORE,HINDUPUR,5.2
MANGALORE,SIHOR,10.9
MANGALORE,VERAVAL,10.75
MANGALORE,MYSORE,4.95
MANGALORE,THANGADH,11.1
MANGALORE,JETPUR,9.95
MANGALORE,SHAPAR,9.3
MANGALORE,JAMNAGAR,9.85
MANGALORE,MAHUVA,10.6
MANGALORE,DARED,9.25
MANGALORE,BHAKTINAGAR,9.25
MANGALORE,BHAVNAGAR,9.65
MANGALORE,GANDHIDHAM,9.1
MANGALORE,BHUJ,10.35
MANGALORE,MUNDRA,10.4
MANGALORE,GANDHIDHAM CITY,9.1
MANGALORE,MANDVI,12.05
MANGALORE,HOSUR INDUSTRIAL AREA,4.15
MANGALORE,BROADWAY - CHENNAI,7.4
MANGALORE,MADURAI,6.75
MANGALORE,SALEM,5.4
MANGALORE,TRIVANDRUM,11.55
MANGALORE,ERODE,6.7
MANGALORE,TRICHUR,10.45
MANGALORE,CALICUT,11.4
MANGALORE,TIRUPUR,9.7
MANGALORE,VIJAYAWADA,7.6
MANGALORE,KARUR,10
MANGALORE,KOTTAYAM,10.1
MANGALORE,TUTICORIN,9.85
MANGALORE,BALANAGAR,8.6
MANGALORE,PONDICHERRY,6.05
MANGALORE,HUBSIGUDA,8.8
MANGALORE,PATANCHERU,8.45
