Bkg Branch,Delivery Branch,Card Rate
KHED SHIVAPUR,DANKUNI,13.3
SHIMOGA,DANKUNI,15.05
VADPE,DANKUNI,11.85
HOSKOTE,DANKUNI,13.15
ORAGADAM-CHE,DANKUNI,9.85
MANDIDEEP,DANKUNI,11.7
GULBARGA,DANKUNI,15.3
TALEGAON (BKG & DLY),DANKUNI,13
LONI,DANKUNI,10.1
BHILAI,DANKUNI,7.65
VIZIANAGARAM,DANKUNI,10.8
ELURU,DANKUNI,10.1
DURGAPUR,DANKUNI,1.7
HOWRAH,DANKUNI,0.95
CUTTACK,DANKUNI,3.6
JAGADHRI,DANKUNI,10.05
RATNAGIRI,DANKUNI,15.9
RAJAHMUNDRY CITY,DANKUNI,10.8
SITAPURA - JAIPUR,DANKUNI,10.6
DHOLKA,DANKUNI,11.55
MANGOLPURI,DANKUNI,8
HUBLI – TARIHAL,DANKUNI,13.4
ALLAHABAD,DANKUNI,11.45
HINJEWADI,DANKUNI,13
BAWANA,DANKUNI,8.5
HASSAN,DANKUNI,14.3
RAICHUR,DANKUNI,15.05
KHARAGPUR,DANKUNI,1.85
SINDHNOOR,DANKUNI,15.6
AMBATTUR ESTATE,DANKUNI,9.55
KOPPAL,DANKUNI,15.9
PARDI,DANKUNI,10.4
HADAPSAR,DANKUNI,13
SANASWADI,DANKUNI,13
OKHLA-1,DANKUNI,7.8
MANESAR,DANKUNI,7.95
FARIDABAD FR,DANKUNI,8.1
NARELA,DANKUNI,8.05
FARIDABAD,DANKUNI,7.9
MUNDKA,DANKUNI,7.9
NIGDI,DANKUNI,13.9
K R PURAM,DANKUNI,13
SECUNDERABAD,DANKUNI,10.45
KOTA (RAJASTAN) FR,DANKUNI,9.85
ABU ROAD,DANKUNI,13.65
BIKANER,DANKUNI,12.25
UDUPI,DANKUNI,15.1
KANJIKODE,DANKUNI,11.55
MEERUT,DANKUNI,8.7
KOYEMBEDU - CHENNAI,DANKUNI,9.85
ASLALI BRANCH,DANKUNI,12
