Bkg Branch,Delivery Branch,Card Rate
NANDESARI,SARANGPUR,1.75
NANDESARI,VATVA,1.7
NANDESARI,CHANGODAR,1.7
NANDESARI,CHHATRAL (N.G.),1.7
NANDESARI,DHOLKA,1.7
NANDESARI,GANDHINAGAR,1.9
NANDESARI,HIMATNAGAR,2.05
NANDESARI,KALOL (N.G.),2.15
NANDESARI,MEHSANA (N.G.),2.15
NANDESARI,PALANPUR,2.8
NANDESARI,SANAND,1.8
NANDESARI,SANTEJ,1.8
NANDESARI,SARKHEJ,1.75
NANDESARI,SIDHPUR,2.8
NANDESARI,SURENDRANAGAR,2.2
NANDESARI,ABU ROAD,3.25
NANDESARI,BHILWARA FR,5.4
NANDESARI,CHITTORGARH  FR,6.15
NANDESARI,JODHPUR,4.45
NANDESARI,KOTA (RAJASTAN) FR,6.8
NANDESARI,PALI,4.05
NANDESARI,UDAIPUR,3.85
NANDESARI,CHITTOOR,11
NANDESARI,CUDDAPAH,11
NANDESARI,ELURU,9.55
NANDESARI,GAJUWAKA,10.45
NANDESARI,GUDIVADA,6.65
NANDESARI,GUNTUR,9.55
NANDESARI,KAKINADA,10.45
NANDESARI,NELLORE,10.2
NANDESARI,ONGOLE,9.85
NANDESARI,PARAWADA,11.5
NANDESARI,RAJAHMUNDRY CITY,10.45
NANDESARI,SRIKAKULAM,12
NANDESARI,TIRUPATHI,10.2
NANDESARI,VIJAYAWADA,8.05
NANDESARI,VIZIANAGARAM,11.35
NANDESARI,ADILABAD,8.3
NANDESARI,ANANTAPURAM,11.7
NANDESARI,AUTONAGAR-HYD,8.05
NANDESARI,BAHADURPALLY BOOKING,6.95
NANDESARI,BAHADURPALLY DELIVERY,7.4
NANDESARI,BALANAGAR,7.65
NANDESARI,BOLLARAM,8.05
NANDESARI,CHERLAPALLY,7.15
NANDESARI,DIWANDEVDI,8.05
NANDESARI,HUBSIGUDA,6.95
NANDESARI,HYDERABAD CENTRAL CELL,7.4
NANDESARI,JEEDIMETLA,7.65
NANDESARI,KARIMNAGAR,9.2
NANDESARI,KHAMMAM,9.55
NANDESARI,KOTHUR,8.2
NANDESARI,KURNOOL,10.2
NANDESARI,NIZAMABAD,9.2
NANDESARI,PATANCHERU,8.05
NANDESARI,SECUNDERABAD,7.65
NANDESARI,WARANGAL,8.85
NANDESARI,BARODA - KARELIBAUG,0.95
NANDESARI,DASHRATH,0.6
NANDESARI,GODHRA PANCHMAHAL,1.1
NANDESARI,GOLDEN BRANCH,0.95
NANDESARI,HALOL (GIDC),1.1
NANDESARI,JAROD,0.95
NANDESARI,MAKARPURA,0.95
