Bkg Branch,Delivery Branch,Card Rate
GHAZIPUR FR,KATHWADA,8.3
GHAZIPUR FR,KUBADTHAL FR,8.75
GHAZIPUR FR,NADIAD,8.3
GHAZIPUR FR,NARODA,8.05
GHAZIPUR FR,NAROL,8.05
GHAZIPUR FR,ODHAV,8.05
GHAZIPUR FR,RAKHIAL,8.05
GHAZIPUR FR,SARANGPUR,8.3
GHAZIPUR FR,VATVA,8.05
GHAZIPUR FR,CHANGODAR,8.05
GHAZIPUR FR,CHHATRAL (N.G.),8.3
GHAZIPUR FR,DHOLKA,8.3
GHAZIPUR FR,GANDHINAGAR,8.3
GHAZIPUR FR,HIMATNAGAR,8.3
GHAZIPUR FR,KALOL (N.G.),8.3
GHAZIPUR FR,MEHSANA (N.G.),8.85
GHAZIPUR FR,PALANPUR,9.2
GHAZIPUR FR,SANAND,8.3
GHAZIPUR FR,SANTEJ,8.3
GHAZIPUR FR,SARKHEJ,8.05
GHAZIPUR FR,SIDHPUR,9.2
GHAZIPUR FR,SURENDRANAGAR,8.6
GHAZIPUR FR,ABU ROAD,9.2
GHAZIPUR FR,BHILWARA FR,11.35
GHAZIPUR FR,CHITTORGARH  FR,7.5
GHAZIPUR FR,JODHPUR,10.45
GHAZIPUR FR,KOTA (RAJASTAN) FR,8.3
GHAZIPUR FR,PALI,12
GHAZIPUR FR,UDAIPUR,9.85
GHAZIPUR FR,CHITTOOR,17.15
GHAZIPUR FR,CUDDAPAH,16.6
GHAZIPUR FR,ELURU,15.3
GHAZIPUR FR,GAJUWAKA,15
GHAZIPUR FR,GUDIVADA,16.1
GHAZIPUR FR,GUNTUR,15
GHAZIPUR FR,KAKINADA,15
GHAZIPUR FR,NELLORE,16.2
GHAZIPUR FR,ONGOLE,15.6
GHAZIPUR FR,PARAWADA,16.05
GHAZIPUR FR,RAJAHMUNDRY CITY,14.7
GHAZIPUR FR,SRIKAKULAM,17.75
GHAZIPUR FR,TIRUPATHI,15.3
GHAZIPUR FR,VIJAYAWADA,13.45
GHAZIPUR FR,VIZIANAGARAM,17.4
GHAZIPUR FR,ADILABAD,11.45
GHAZIPUR FR,ANANTAPURAM,17.75
GHAZIPUR FR,AUTONAGAR-HYD,13.2
GHAZIPUR FR,BAHADURPALLY BOOKING,11.7
GHAZIPUR FR,BAHADURPALLY DELIVERY,12.9
GHAZIPUR FR,BALANAGAR,12.6
GHAZIPUR FR,BOLLARAM,1.8
GHAZIPUR FR,CHERLAPALLY,13.55
GHAZIPUR FR,DIWANDEVDI,12.6
GHAZIPUR FR,HUBSIGUDA,1.8
GHAZIPUR FR,HYDERABAD CENTRAL CELL,12.9
GHAZIPUR FR,JEEDIMETLA,12.25
GHAZIPUR FR,KARIMNAGAR,14.1
GHAZIPUR FR,KHAMMAM,14.1
GHAZIPUR FR,KOTHUR,11.25
GHAZIPUR FR,KURNOOL,13.8
GHAZIPUR FR,NIZAMABAD,14.1
GHAZIPUR FR,PATANCHERU,12.6
GHAZIPUR FR,SECUNDERABAD,12.6
GHAZIPUR FR,WARANGAL,13.45
GHAZIPUR FR,BARODA - KARELIBAUG,8.3
GHAZIPUR FR,DASHRATH,7.65
GHAZIPUR FR,GODHRA PANCHMAHAL,8.3
GHAZIPUR FR,GOLDEN BRANCH,8.3
GHAZIPUR FR,HALOL (GIDC),8.3
GHAZIPUR FR,JAROD,8.3
GHAZIPUR FR,MAKARPURA,8.3
GHAZIPUR FR,MANJUSAR,8.3
GHAZIPUR FR,NANDESARI,8.3
GHAZIPUR FR,PADRA (DHABASA),8.3
GHAZIPUR FR,POR,8.3
GHAZIPUR FR,V V NAGAR,8.3
GHAZIPUR FR,WAGHODIA,8.3
GHAZIPUR FR,AMBATTUR-CHENNAI,14.1
GHAZIPUR FR,BROADWAY - CHENNAI,14.1
GHAZIPUR FR,GUINDY-CHENNAI,14.1
GHAZIPUR FR,GUMMIDIPOONDI - CHENNAI,14.7
GHAZIPUR FR,PALLAVARAM - CHENNAI,12.55
GHAZIPUR FR,PARIVAKKAM-CHENNAI,13.45
GHAZIPUR FR,REDHILLS - CHENNAI,13
GHAZIPUR FR,SRICITY - TADA,15.4
GHAZIPUR FR,THIRUVALLUR - CHE,13
GHAZIPUR FR,AMBUR,12.5
GHAZIPUR FR,CUDDALORE,15.9
GHAZIPUR FR,KELAMBAKKAM,13.65
GHAZIPUR FR,MARAIMALAI NAGAR - CHE,13.45
GHAZIPUR FR,ORAGADAM-CHE,15
GHAZIPUR FR,PANRUTI,13.8
GHAZIPUR FR,PERUNGUDI,1.8
GHAZIPUR FR,PONDICHERRY,14.7
GHAZIPUR FR,RANIPET,14.4
GHAZIPUR FR,SRIPERUMBUDUR,14.1
GHAZIPUR FR,THIRUBHUVANAI,14.9
GHAZIPUR FR,THIRUVNNAMALAI,12.9
GHAZIPUR FR,BARGUR,15.65
GHAZIPUR FR,COIMBATORE BRANCH,14.7
GHAZIPUR FR,DHARMAPURI,15.5
GHAZIPUR FR,ERODE,15
GHAZIPUR FR,KANJIKODE,16.85
GHAZIPUR FR,KARAIKAL,19.05
GHAZIPUR FR,KARUR,17.4
GHAZIPUR FR,KOMARAPALAYAM,15.6
GHAZIPUR FR,KOVILPATTI,17.4
GHAZIPUR FR,KUMBAKONAM,17.85
GHAZIPUR FR,METTUR DAM,15.3
GHAZIPUR FR,NEELAMBUR,14.7
GHAZIPUR FR,PERUNDURAI SIPCOT,17.15
GHAZIPUR FR,POLLACHI,16.35
GHAZIPUR FR,PUDUKKOTTAI,16.2
GHAZIPUR FR,SALEM,14.1
GHAZIPUR FR,THANJAVUR,18.9
GHAZIPUR FR,TIRUCHENGODE,15
GHAZIPUR FR,TIRUPUR,17.15
GHAZIPUR FR,TRICHY,15.6
GHAZIPUR FR,ALLEPPEY,19.25
GHAZIPUR FR,CALICUT,18.4
GHAZIPUR FR,KALAMASSERY,16.2
GHAZIPUR FR,KANNUR,14.5
GHAZIPUR FR,KOTTAYAM,17.4
GHAZIPUR FR,MANJERI,17.05
GHAZIPUR FR,PERUMBAVOOR,17
GHAZIPUR FR,SHORANUR,16.9
GHAZIPUR FR,TRICHUR,17.75
GHAZIPUR FR,TRIVANDRUM,18.65
GHAZIPUR FR,DINDIGUL,16.2
GHAZIPUR FR,MADURAI,15
GHAZIPUR FR,NAGERCOIL,17.15
GHAZIPUR FR,RAJAPALAYAM,17.15
GHAZIPUR FR,SIVAKASI,16.85
GHAZIPUR FR,TIRUNELVELI,17.4
GHAZIPUR FR,TUTICORIN,17.4
GHAZIPUR FR,ALAMPUR,12.1
GHAZIPUR FR,BALASORE,17.7
GHAZIPUR FR,BERHAMPUR,18.1
GHAZIPUR FR,BHUBANESWAR,14
GHAZIPUR FR,BISHNUPUR-KOLKATTA,10.85
GHAZIPUR FR,BURDWAN,10.55
GHAZIPUR FR,CUTTACK,14.9
GHAZIPUR FR,DANKUNI,9.75
GHAZIPUR FR,DEOGHAR,15.1
GHAZIPUR FR,DURGAPUR,12.95
GHAZIPUR FR,GUWAHATI,19.2
GHAZIPUR FR,HALDIA,13
GHAZIPUR FR,HOWRAH,13.15
GHAZIPUR FR,JAIGAON - BHUTAN,21.35
GHAZIPUR FR,JAMSHEDPUR,12.8
GHAZIPUR FR,KALYANI,11.1
GHAZIPUR FR,KHARAGPUR,11.4
GHAZIPUR FR,KOLKATA TR,9.55
GHAZIPUR FR,KOLKATA(B T ROAD),7.15
GHAZIPUR FR,KOLKATA-CENTRAL,7.15
GHAZIPUR FR,KOLKATA-SOUTH,7.95
GHAZIPUR FR,MALDA,13
GHAZIPUR FR,PATNA,12.25
GHAZIPUR FR,RANCHI,13.15
GHAZIPUR FR,RANCHI DELIVERY,13.15
GHAZIPUR FR,RAXAUL,14.55
GHAZIPUR FR,SAMBALPUR,14.9
GHAZIPUR FR,SANTIPUR,11.11
GHAZIPUR FR,SILIGURI,13.15
GHAZIPUR FR,CHIKMAGALUR,14.7
GHAZIPUR FR,DODDABALLAPUR - BNG,13.45
GHAZIPUR FR,HASSAN,14.4
GHAZIPUR FR,HINDUPUR,14.1
GHAZIPUR FR,HOSKOTE,13.45
GHAZIPUR FR,K R PURAM,13.45
GHAZIPUR FR,KOLAR,12.75
GHAZIPUR FR,NELAMANGALA (BKG & DLY),12.6
GHAZIPUR FR,NELAMANGALA CENTRAL CELL,12.6
GHAZIPUR FR,PEENYA,13.2
GHAZIPUR FR,RAJAJINAGAR,13.2
GHAZIPUR FR,TUMKUR,13.8
GHAZIPUR FR,TUMKUR INDUSTRIAL AREA,13.8
GHAZIPUR FR,BIDADI,12.25
GHAZIPUR FR,BOMMASANDRA,13.45
GHAZIPUR FR,HAROHALLI - BANGALORE,12.25
GHAZIPUR FR,HOSUR,13.45
GHAZIPUR FR,HOSUR INDUSTRIAL AREA,13.45
GHAZIPUR FR,JIGANI,13.45
GHAZIPUR FR,KANAKAPURA ROAD - BNG,13.45
GHAZIPUR FR,LALBAGH ROAD,13.45
GHAZIPUR FR,BAIKAMPADY - MNG,13.4
GHAZIPUR FR,KARKALA,11.45
GHAZIPUR FR,KUNDAPUR,11.45
GHAZIPUR FR,KUSHALNAGAR – KODAGU,15.3
GHAZIPUR FR,MANDYA,13.45
GHAZIPUR FR,MANGALORE,14.7
GHAZIPUR FR,MYSORE,13.8
GHAZIPUR FR,MYSORE - INDUSTRIAL AREA,12.8
GHAZIPUR FR,PUTTUR,13.8
GHAZIPUR FR,RAMANAGARA,13.45
GHAZIPUR FR,UDUPI,15
GHAZIPUR FR,BAGALAKOTE - NORTH KAR,17.15
GHAZIPUR FR,BELGAUM,16.6
GHAZIPUR FR,BELGAUM INDL ESTATE,16.6
GHAZIPUR FR,BELLARY,15
GHAZIPUR FR,BHATKAL,16.1
GHAZIPUR FR,BIDAR,16.2
GHAZIPUR FR,BIJAPUR,17.15
GHAZIPUR FR,CHITRADURGA,15
GHAZIPUR FR,DAVANAGERE,14.4
GHAZIPUR FR,GADAG,16.2
GHAZIPUR FR,GANGAVATI,17.4
GHAZIPUR FR,GOKAK,15.35
GHAZIPUR FR,GULBARGA,15.6
GHAZIPUR FR,HOSPET,15
GHAZIPUR FR,HUBLI – TARIHAL,14.7
GHAZIPUR FR,HUBLI CITY,13.45
GHAZIPUR FR,HUBLI INDL AREA,14.7
GHAZIPUR FR,KARWAR,18.4
GHAZIPUR FR,KOPPAL,16.85
GHAZIPUR FR,KUMTA,14.4
GHAZIPUR FR,MACHHE INDUSTRIAL,15.65
GHAZIPUR FR,RABAKAVI - BANATTI,17.15
GHAZIPUR FR,RAICHUR,17.75
GHAZIPUR FR,RANEBENNUR,14.7
GHAZIPUR FR,SHIMOGA,17.4
GHAZIPUR FR,SINDHNOOR,17.15
GHAZIPUR FR,SIRSI,16.85
GHAZIPUR FR,AMBERNATH,10.45
GHAZIPUR FR,DAPODA,10.45
GHAZIPUR FR,DOMBIVLI,10.45
GHAZIPUR FR,MURBAD,11
GHAZIPUR FR,THANA,10.45
GHAZIPUR FR,VASIND,12.35
GHAZIPUR FR,WADA,10.2
GHAZIPUR FR,ANDHERI,10.45
GHAZIPUR FR,BHANDUP,9.2
GHAZIPUR FR,BOISAR,9.55
GHAZIPUR FR,DAHANU,9.55
