Bkg Branch,Delivery Branch,Card Rate
NAGPUR (WADI),PANOLI,7.4
NAGPUR (WADI),BILIMORA,6.05
NAGPUR (WADI),HAZIRA,7.4
NAGPUR (WADI),KADODARA BRANCH,7.4
NAGPUR (WADI),NAVSARI,7.65
NAGPUR (WADI),PALSANA,7.4
NAGPUR (WADI),SACHIN,7.4
NAGPUR (WADI),SAROLI,6.05
NAGPUR (WADI),SURAT CITY,7.4
NAGPUR (WADI),UNN,7.4
NAGPUR (WADI),DADRA NAGAR HAVELI,5.75
NAGPUR (WADI),DAMAN DELIVERY UT,5.45
NAGPUR (WADI),PARDI,6.05
NAGPUR (WADI),SARIGAM,5.15
NAGPUR (WADI),SILVASSA,5.75
NAGPUR (WADI),UMARGAON,5.45
NAGPUR (WADI),VALSAD,5.45
NAGPUR (WADI),VAPI DELIVERY,4.8
NAGPUR CITY,ASLALI BRANCH,6.7
NAGPUR CITY,GOBLEJ BKG & DLY,6.7
NAGPUR CITY,KATHWADA,6.7
NAGPUR CITY,KUBADTHAL FR,7.15
NAGPUR CITY,NADIAD,6.7
NAGPUR CITY,NARODA,6.7
NAGPUR CITY,NAROL,6.35
NAGPUR CITY,ODHAV,6.35
NAGPUR CITY,RAKHIAL,6.7
NAGPUR CITY,SARANGPUR,6.35
NAGPUR CITY,VATVA,6.7
NAGPUR CITY,CHANGODAR,6.7
NAGPUR CITY,CHHATRAL (N.G.),6.7
NAGPUR CITY,DHOLKA,6.35
NAGPUR CITY,GANDHINAGAR,6.35
NAGPUR CITY,HIMATNAGAR,6.7
NAGPUR CITY,KALOL (N.G.),6.95
NAGPUR CITY,MEHSANA (N.G.),6.7
NAGPUR CITY,PALANPUR,7.4
NAGPUR CITY,SANAND,6.7
NAGPUR CITY,SANTEJ,6.7
NAGPUR CITY,SARKHEJ,6.35
NAGPUR CITY,SIDHPUR,7.65
NAGPUR CITY,SURENDRANAGAR,6.95
NAGPUR CITY,ABU ROAD,8.05
NAGPUR CITY,BHILWARA FR,9.6
NAGPUR CITY,CHITTORGARH  FR,10.7
NAGPUR CITY,JODHPUR,8.85
NAGPUR CITY,KOTA (RAJASTAN) FR,10.75
NAGPUR CITY,PALI,11.35
NAGPUR CITY,UDAIPUR,8.05
NAGPUR CITY,CHITTOOR,12.9
NAGPUR CITY,CUDDAPAH,12
NAGPUR CITY,ELURU,10.75
NAGPUR CITY,GAJUWAKA,10.75
NAGPUR CITY,GUDIVADA,10.65
NAGPUR CITY,GUNTUR,9.85
NAGPUR CITY,KAKINADA,10.75
NAGPUR CITY,NELLORE,11
NAGPUR CITY,ONGOLE,10.75
NAGPUR CITY,PARAWADA,11.8
NAGPUR CITY,RAJAHMUNDRY CITY,9.2
NAGPUR CITY,SRIKAKULAM,12.9
NAGPUR CITY,TIRUPATHI,10.2
NAGPUR CITY,VIJAYAWADA,8.3
NAGPUR CITY,VIZIANAGARAM,11.7
NAGPUR CITY,ADILABAD,5.95
NAGPUR CITY,ANANTAPURAM,13.45
NAGPUR CITY,AUTONAGAR-HYD,7.4
NAGPUR CITY,BAHADURPALLY BOOKING,5.45
NAGPUR CITY,BAHADURPALLY DELIVERY,5.35
NAGPUR CITY,BALANAGAR,6.7
NAGPUR CITY,BOLLARAM,6.95
NAGPUR CITY,CHERLAPALLY,10.2
NAGPUR CITY,DIWANDEVDI,6.35
NAGPUR CITY,HUBSIGUDA,6.35
NAGPUR CITY,HYDERABAD CENTRAL CELL,5.75
NAGPUR CITY,JEEDIMETLA,6.05
NAGPUR CITY,KARIMNAGAR,8.85
NAGPUR CITY,KHAMMAM,9.55
NAGPUR CITY,KOTHUR,7.3
NAGPUR CITY,KURNOOL,10.2
NAGPUR CITY,NIZAMABAD,8.6
NAGPUR CITY,PATANCHERU,6.7
NAGPUR CITY,SECUNDERABAD,6.35
NAGPUR CITY,WARANGAL,9.55
NAGPUR CITY,BARODA - KARELIBAUG,6.7
NAGPUR CITY,DASHRATH,6.35
NAGPUR CITY,GODHRA PANCHMAHAL,6.7
NAGPUR CITY,GOLDEN BRANCH,6.35
NAGPUR CITY,HALOL (GIDC),6.95
NAGPUR CITY,JAROD,6.35
NAGPUR CITY,MAKARPURA,6.95
NAGPUR CITY,MANJUSAR,6.7
NAGPUR CITY,NANDESARI,6.7
NAGPUR CITY,PADRA (DHABASA),6.7
NAGPUR CITY,POR,6.7
NAGPUR CITY,V V NAGAR,6.7
NAGPUR CITY,WAGHODIA,6.7
NAGPUR CITY,AMBATTUR-CHENNAI,10.2
NAGPUR CITY,BROADWAY - CHENNAI,9.85
NAGPUR CITY,GUINDY-CHENNAI,9.85
NAGPUR CITY,GUMMIDIPOONDI - CHENNAI,12
NAGPUR CITY,PALLAVARAM - CHENNAI,9
NAGPUR CITY,PARIVAKKAM-CHENNAI,10.2
NAGPUR CITY,REDHILLS - CHENNAI,7.65
NAGPUR CITY,SRICITY - TADA,12.65
NAGPUR CITY,THIRUVALLUR - CHE,10.85
NAGPUR CITY,AMBUR,12.05
NAGPUR CITY,CUDDALORE,10.2
NAGPUR CITY,KELAMBAKKAM,11.5
NAGPUR CITY,MARAIMALAI NAGAR - CHE,11.7
NAGPUR CITY,ORAGADAM-CHE,10.45
NAGPUR CITY,PANRUTI,10.9
NAGPUR CITY,PERUNGUDI,12.25
NAGPUR CITY,PONDICHERRY,9.85
NAGPUR CITY,RANIPET,10.2
NAGPUR CITY,SRIPERUMBUDUR,10.2
NAGPUR CITY,THIRUBHUVANAI,11.55
NAGPUR CITY,THIRUVNNAMALAI,11
NAGPUR CITY,BARGUR,11.05
NAGPUR CITY,COIMBATORE BRANCH,10.45
NAGPUR CITY,DHARMAPURI,11.2
NAGPUR CITY,ERODE,10.2
NAGPUR CITY,KANJIKODE,10.75
NAGPUR CITY,KARAIKAL,13.9
NAGPUR CITY,KARUR,13.2
NAGPUR CITY,KOMARAPALAYAM,10.2
NAGPUR CITY,KOVILPATTI,11.65
NAGPUR CITY,KUMBAKONAM,12.7
NAGPUR CITY,METTUR DAM,11
NAGPUR CITY,NEELAMBUR,10.45
NAGPUR CITY,PERUNDURAI SIPCOT,10.45
NAGPUR CITY,POLLACHI,11.75
NAGPUR CITY,PUDUKKOTTAI,12.6
NAGPUR CITY,SALEM,9.85
NAGPUR CITY,THANJAVUR,13.65
NAGPUR CITY,TIRUCHENGODE,10.2
NAGPUR CITY,TIRUPUR,10.45
NAGPUR CITY,TRICHY,10.75
NAGPUR CITY,ALLEPPEY,14.7
NAGPUR CITY,CALICUT,16.2
NAGPUR CITY,KALAMASSERY,11.7
NAGPUR CITY,KANNUR,4.05
NAGPUR CITY,KOTTAYAM,12.6
NAGPUR CITY,MANJERI,12.5
NAGPUR CITY,PERUMBAVOOR,12.5
NAGPUR CITY,SHORANUR,11.75
NAGPUR CITY,TRICHUR,10.45
NAGPUR CITY,TRIVANDRUM,12.6
