Bkg Branch,Delivery Branch,Card Rate
SIVAKASI,MUMBAI,9.2
SIVAKASI,ANDHERI,9.2
SIVAKASI,VASAI EAST,9.2
SIVAKASI,BHANDUP,9.85
SIVAKASI,GOREGOAN,8.85
SIVAKASI,NAROL,7.65
SIVAKASI,VATVA,7.65
SIVAKASI,BOISAR,9.2
SIVAKASI,ODHAV,7.65
SIVAKASI,RAKHIAL,7.65
SIVAKASI,NARODA,7.65
SIVAKASI,SARANGPUR,7.65
SIVAKASI,GANDHINAGAR,8.05
SIVAKASI,KALAMBOLI,8.85
SIVAKASI,THANA,8.85
SIVAKASI,HIMATNAGAR,8.05
SIVAKASI,KHOPOLI,10.2
SIVAKASI,NADIAD,8.05
SIVAKASI,AMBERNATH,9.2
SIVAKASI,KATHWADA,7.65
SIVAKASI,DRONAGIRI,9.55
SIVAKASI,SARKHEJ,7.65
SIVAKASI,CHANGODAR,7.65
SIVAKASI,SANTEJ,7.65
SIVAKASI,DOMBIVLI,9.2
SIVAKASI,SANAND,7.65
SIVAKASI,CHHATRAL (N.G.),7.65
SIVAKASI,KALOL (N.G.),8.3
SIVAKASI,SIDHPUR,8.6
SIVAKASI,PALANPUR,8.6
SIVAKASI,SURENDRANAGAR,8.05
SIVAKASI,SOLAPUR,10.75
SIVAKASI,GOLDEN BRANCH,7.65
SIVAKASI,BARODA - KARELIBAUG,7.65
SIVAKASI,NAGPUR (WADI),10.75
SIVAKASI,MAKARPURA,7.65
SIVAKASI,DASHRATH,7.4
SIVAKASI,NANDESARI,7.4
SIVAKASI,NAGPUR CITY,11.7
SIVAKASI,V V NAGAR,7.65
SIVAKASI,PADRA (DHABASA),7.4
SIVAKASI,POR,7.65
SIVAKASI,WAGHODIA,7.65
SIVAKASI,WAGHOLI,8.85
SIVAKASI,GODHRA PANCHMAHAL,7.65
SIVAKASI,HALOL (GIDC),7.65
SIVAKASI,MEHSANA (N.G.),8.6
SIVAKASI,PIRANGUT,8.85
SIVAKASI,PONDA,10.45
SIVAKASI,MADGAON,10.45
SIVAKASI,GONDHE,10.75
SIVAKASI,SINNER,9.55
SIVAKASI,CHANDRAPUR,12
SIVAKASI,AURANGABAD (WALUJ) MIDC,10.2
SIVAKASI,VERNA-GOA,8.85
SIVAKASI,AURANGABAD CITY- CHIKALTHANA,11
SIVAKASI,LOTE,10.45
SIVAKASI,PUNE CITY,8.85
SIVAKASI,SILVASSA,9.2
